Coder Initial,"Potential_Law_On_MKT ((1=True, 0=False)",Notes in Support of LawonMkt,Potential Stocks or Sectors,decisionType,docket,term,dateDecision,caseName,dateArgument,,caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes
dk,0,,,1,09-115,2010,5/26/2011,"CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA, et al., PETITIONERS v. MICHAEL B. WHITING ET AL",12/8/2010,,2010-047,2010-047-01,2010-047-01-01,2010-047-01-01-01,5/26/2011,1,,131 S. Ct. 1968,179 L. Ed. 2d 1031,2011 U.S. LEXIS 4018,2010,1704,Roberts,09-115,"CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA, et al., PETITIONERS v. MICHAEL B. WHITING ET AL",12/8/2010,,216,,19,4,1,,,0,45,,29,,0,12,2,1,1,2,0,0,0,0,100030,10,1,0,4,,3,344,NA,111,111,1,5,3
dk,0,,,1,09-1498,2010,5/26/2011,"UNITED STATES, PETITIONER v. JASON LOUIS TINKLENBERG",2/22/2011,,2010-048,2010-048-01,2010-048-01-01,2010-048-01-01-01,5/26/2011,1,,131 S. Ct. 2007,179 L. Ed. 2d 1080,2011 U.S. LEXIS 4017,2010,1704,Roberts,09-1498,"UNITED STATES, PETITIONER v. JASON LOUIS TINKLENBERG",2/22/2011,,27,,137,,1,,,0,82,,26,,0,11,3,2,1,2,0,0,0,0,10590,1,2,0,4,,6,600,18-3161,110,111,1,8,0
dk,0,,,1,15980,2010,5/26/2011,"CHARLES ANDREW FOWLER, AKA MAN, PETITIONER v. UNITED STATES",3/29/2011,,2010-049,2010-049-01,2010-049-01-01,2010-049-01-01-01,5/26/2011,1,,131 S. Ct. 2045,179 L. Ed. 2d 1099,2011 U.S. LEXIS 4019,2010,1704,Roberts,Oct-43,"CHARLES ANDREW FOWLER, AKA MAN, PETITIONER v. UNITED STATES",3/29/2011,,126,,27,,1,,,0,56,,31,,0,2,2,1,1,5,0,1,0,0,10520,1,2,0,4,,6,600,18-1512,110,111,1,7,2
dk,0,,,1,09-1454,2010,5/26/2011,"BOB CAMRETA, PETITIONER v. SARAH GREENE, PERSONALLY AND AS NEXT FRIEND OF S. G., A MINOR, AND K. G., A MINOR",3/1/2011,,2010-050,2010-050-01,2010-050-01-01,2010-050-01-01-01,5/26/2011,1,,131 S. Ct. 2020,179 L. Ed. 2d 1118,2011 U.S. LEXIS 4016,2010,1704,Roberts,09-1454,"BOB CAMRETA, PETITIONER v. SARAH GREENE, PERSONALLY AND AS NEXT FRIEND OF S. G., A MINOR, AND K. G., A MINOR",3/1/2011,,8,43,175,,1,,,0,108,,29,,0,12,2,1,1,5,0,1,0,0,90240,9,2,0,1,,1,139,NA,114,111,1,7,2
dk,1,,Patent Case - Sunbeam Products is Counter Part - Parent Company is NYSE: JAH ,1,41918,2010,5/31/2011,"GLOBAL-TECH APPLIANCES, INC., et al., PETITIONERS v. SEB S.A.",2/23/2011,,2010-051,2010-051-01,2010-051-01-01,2010-051-01-01-01,5/31/2011,1,,131 S. Ct. 2060,179 L. Ed. 2d 1167,2011 U.S. LEXIS 4022,2010,1704,Roberts,6-Oct,"GLOBAL-TECH APPLIANCES, INC., et al., PETITIONERS v. SEB S.A.",2/23/2011,,184,,172,,1,,,0,96,,8,,0,12,2,2,1,2,0,0,0,0,80180,8,2,0,4,,6,600,35-271,112,111,1,8,1
dk,0,, ,1,36069,2010,5/31/2011,"JOHN D. ASHCROFT, PETITIONER v. ABDULLAH AL-KIDD",3/2/2011,,2010-052,2010-052-01,2010-052-01-01,2010-052-01-01-01,5/31/2011,1,,131 S. Ct. 2074,179 L. Ed. 2d 1149,2011 U.S. LEXIS 4021,2010,1704,Roberts,Oct-98,"JOHN D. ASHCROFT, PETITIONER v. ABDULLAH AL-KIDD",3/2/2011,,1,,174,,1,,,0,,,29,,1,12,2,2,1,4,0,1,0,0,80060,8,1,0,5,4,6,600,18-3144,105,111,1,8,0
dk,0,, ,1,10-114,2010,6/6/2011,"RICKY D FOX, PETITIONER v. JUDY ANN VICE, AS EXECUTRIX OF THE ESTATE OF VICE, et al.",3/22/2011,,2010-053,2010-053-01,2010-053-01-01,2010-053-01-01-01,6/6/2011,1,,131 S. Ct. 2205,180 L. Ed. 2d 45,2011 U.S. LEXIS 4182,2010,1704,Roberts,10-114,"RICKY D FOX, PETITIONER v. JUDY ANN VICE, AS EXECUTRIX OF THE ESTATE OF VICE, et al.",3/22/2011,,8,22,8,22,1,,,0,77,,25,,1,2,2,2,1,5,0,1,0,0,60010,6,1,0,4,,3,328,NA,114,111,1,9,0
dk,0,, ,1,21459,2010,6/6/2011,"CLIFTON TERELLE MCNEILL, PETITIONER v. UNITED STATES",4/25/2011,,2010-054,2010-054-01,2010-054-01-01,2010-054-01-01-01,6/6/2011,1,,131 S. Ct. 2218,180 L. Ed. 2d 35,2011 U.S. LEXIS 4180,2010,1704,Roberts,Oct-58,"CLIFTON TERELLE MCNEILL, PETITIONER v. UNITED STATES",4/25/2011,,126,,27,,1,,,0,98,,24,,0,2,2,1,1,2,0,0,0,0,10510,1,1,0,4,,6,600,18-922,108,111,1,9,0
dk,1,,Patent Case / Bayh Dole Act - Look at others in the HIV Testing Space : Roche is directly involved in this case - OTC: RHHBY,1,09-1159,2010,6/6/2011,"BOARD OF TRUSTEES OF THE LELAND STANFORD JUNIOR UNIVERSITY, PETITIONER v. ROCHE MOLECULAR SYSTEMS, INC., et al.",2/28/2011,,2010-055,2010-055-01,2010-055-01-01,2010-055-01-01-01,6/6/2011,1,,131 S. Ct. 2188,180 L. Ed. 2d 1,2011 U.S. LEXIS 4183,2010,1704,Roberts,09-1159,"BOARD OF TRUSTEES OF THE LELAND STANFORD JUNIOR UNIVERSITY, PETITIONER v. ROCHE MOLECULAR SYSTEMS, INC., et al.",2/28/2011,,176,,143,,1,,,0,50,,8,,0,12,5,1,1,2,0,0,0,0,80180,8,1,0,4,,6,600,35-200,111,111,1,7,2
dk,1,,HAL (NYSE) is the Counterparty ,1,09-1403,2010,6/6/2011,"ERICA P. JOHN FUND, INC., FKA ARCHDIOCESE OF MILWAUKEE SUPPORTING FUND, INC., PETITIONER v. HALLIBURTON CO., et al.",4/25/2011,,2010-056,2010-056-01,2010-056-01-01,2010-056-01-01-01,6/6/2011,1,,131 S. Ct. 2179,180 L. Ed. 2d 24,2011 U.S. LEXIS 4181,2010,1704,Roberts,09-1403,"ERICA P. JOHN FUND, INC., FKA ARCHDIOCESE OF MILWAUKEE SUPPORTING FUND, INC., PETITIONER v. HALLIBURTON CO., et al.",4/25/2011,,173,,176,,1,,,0,120,,25,,0,2,2,1,1,5,0,1,0,0,90110,9,2,0,4,,4,400,NA,111,111,1,9,0
dk,1,,MSFT (NASDAQ),1,10-290,2010,6/9/2011,"MICROSOFT CORPORATION, PETITIONER v. I4I  LIMITED PARTNERSHIP et al.",4/18/2011,,2010-057,2010-057-01,2010-057-01-01,2010-057-01-01-01,6/9/2011,1,,131 S. Ct. 2238,180 L. Ed. 2d 131,2011 U.S. LEXIS 4376,2010,1704,Roberts,10-290,"MICROSOFT CORPORATION, PETITIONER v. I4I  LIMITED PARTNERSHIP et al.",4/18/2011,,133,,133,,1,,,0,119,,8,,0,12,2,2,1,2,0,0,0,0,80210,8,2,0,4,,6,600,35-282,113,105,1,8,0
dk,0,,,1,09-1533,2010,6/9/2011,"FRANTZ DEPIERRE, PETITIONER v. UNITED STATES",2/28/2011,,2010-058,2010-058-01,2010-058-01-01,2010-058-01-01-01,6/9/2011,1,,131 S. Ct. 2225,180 L. Ed. 2d 114,2011 U.S. LEXIS 4374,2010,1704,Roberts,09-1533,"FRANTZ DEPIERRE, PETITIONER v. UNITED STATES",2/28/2011,,137,,27,,1,,,0,80,,21,,0,2,2,1,1,2,0,0,0,0,10510,1,1,0,4,,6,600,21-841,113,111,1,9,0
dk,1,,Counter Party is Michigan Bell / AT&T Parent (Ask Jim to verify all of this)  … Talk America was acquired by Cavlier which was acquired by Windstream Communications y NASDAQ: WIN,1,10-313,2010,6/9/2011,"TALK AMERICA, PETITIONER v. MICHIGAN BELL TELEPHONE COMPANY DBA AT&T MICHIGAN",3/30/2011,,2010-059,2010-059-01,2010-059-01-01,2010-059-01-01-01,6/9/2011,1,,131 S. Ct. 2254,180 L. Ed. 2d 96,2011 U.S. LEXIS 4375,2010,1704,Roberts,10-313,"TALK AMERICA, PETITIONER v. MICHIGAN BELL TELEPHONE COMPANY DBA AT&T MICHIGAN",3/30/2011,,205,,205,,1,117,27,0,81,,26,,1,2,2,1,1,3,0,1,0,0,80340,8,2,0,5,,3,326,NA,108,111,1,8,0
dk,0,,,1,09-11311,2010,6/9/2011,"MARCUS SYKES, PETITIONER v. UNITED STATES",1/12/2011,,2010-060,2010-060-01,2010-060-01-01,2010-060-01-01-01,6/9/2011,1,,131 S. Ct. 2267,180 L. Ed. 2d 60,2011 U.S. LEXIS 4377,2010,1704,Roberts,09-11311,"MARCUS SYKES, PETITIONER v. UNITED STATES",1/12/2011,,137,,27,,1,,,0,69,,27,,0,2,2,1,1,2,0,0,0,0,10560,1,1,0,4,,6,600,18-924,106,111,1,6,3
dk,0,,,5,41883,2010,6/13/2011,"RUBEN FLORES-VILLAR, PETITIONER v. UNITED STATES",11/10/2010,,2010-061,2010-061-01,2010-061-01-01,2010-061-01-01-01,6/13/2011,5,,131 S. Ct. 2312,180 L. Ed. 2d 222,2011 U.S. LEXIS 4378,2010,1704,Roberts,1-Sep,"RUBEN FLORES-VILLAR, PETITIONER v. UNITED STATES",11/10/2010,,106,,27,,1,,,0,,,29,,0,12,,1,1,2,0,0,0,0,20270,2,1,0,3,,9,900,NA,,,1,4,4
dk,0,,,1,10-382,2010,6/13/2011,"UNITED STATES, PETITIONER v. JICARILLA APACHE NATION",4/20/2011,,2010-062,2010-062-01,2010-062-01-01,2010-062-01-01-01,6/13/2011,1,,131 S. Ct. 2313,180 L. Ed. 2d 187,2011 U.S. LEXIS 4381,2010,1704,Roberts,10-382,"UNITED STATES, PETITIONER v. JICARILLA APACHE NATION",4/20/2011,,27,,170,,1,,,0,3,,8,,0,12,2,2,1,4,0,1,0,0,20150,2,1,0,4,7,6,600,28-1491,112,111,1,7,1
dk,1,, NYSE: JNS and maybe other similarly situated firms? ,1,09-525,2010,6/13/2011,"JANUS CAPITAL GROUP, INC., et al., PETITIONERS v. FIRST DERIVATIVE TRADERS",12/7/2010,,2010-063,2010-063-01,2010-063-01-01,2010-063-01-01-01,6/13/2011,1,,131 S. Ct. 2296,180 L. Ed. 2d 166,2011 U.S. LEXIS 4380,2010,1704,Roberts,09-525,"JANUS CAPITAL GROUP, INC., et al., PETITIONERS v. FIRST DERIVATIVE TRADERS",12/7/2010,,173,,237,,1,,,0,79,,24,,0,11,3,2,1,3,0,1,0,0,80120,8,1,0,5,,3,365,NA,108,111,1,5,4
dk,0,,,1,10-568,2010,6/13/2011,"NEVADA COMMISSION ON ETHICS, PETITIONER v. MICHAEL A. CARRIGAN",4/27/2011,,2010-064,2010-064-01,2010-064-01-01,2010-064-01-01-01,6/13/2011,1,,131 S. Ct. 2343,180 L. Ed. 2d 150,2011 U.S. LEXIS 4379,2010,1704,Roberts,10-568,"NEVADA COMMISSION ON ETHICS, PETITIONER v. MICHAEL A. CARRIGAN",4/27/2011,,4,33,8,33,1,,,0,302,33,300,33,1,12,3,2,1,4,0,1,0,0,30010,3,1,0,2,,2,200,NA,105,111,1,9,0
dk,0,,,1,09-1227,2010,6/16/2011,"CAROL ANNE BOND, PETITIONER v. UNITED STATES",2/22/2011,,2010-065,2010-065-01,2010-065-01-01,2010-065-01-01-01,6/16/2011,1,,131 S. Ct. 2355,180 L. Ed. 2d 269,2011 U.S. LEXIS 4558,2010,1704,Roberts,09-1227,"CAROL ANNE BOND, PETITIONER v. UNITED STATES",2/22/2011,,253,,27,,1,,,0,109,,23,,0,12,2,1,1,4,0,1,0,0,90220,9,2,0,1,,1,139,NA,106,111,1,9,0
dk,0,,,1,09-11328,2010,6/16/2011,"WILLIE GENE DAVIS, PETITIONER v. UNITED STATES",3/21/2011,,2010-066,2010-066-01,2010-066-01-01,2010-066-01-01-01,6/16/2011,1,,131 S. Ct. 2419,180 L. Ed. 2d 285,2011 U.S. LEXIS 4560,2010,1704,Roberts,09-11328,"WILLIE GENE DAVIS, PETITIONER v. UNITED STATES",3/21/2011,,137,,27,,1,,,0,41,,31,,0,2,2,1,1,2,0,0,0,0,10060,1,1,0,7,,5,502,NA,112,111,1,7,2
dk,0,,,1,09-11121,2010,6/16/2011,"J. D. B., PETITIONER v. NORTH CAROLINA",3/23/2011,,2010-067,2010-067-01,2010-067-01-01,2010-067-01-01-01,6/16/2011,1,,131 S. Ct. 2394,180 L. Ed. 2d 310,2011 U.S. LEXIS 4557,2010,1704,Roberts,09-11121,"J. D. B., PETITIONER v. NORTH CAROLINA",3/23/2011,,175,,28,38,1,,,0,302,38,300,38,1,11,2,1,1,4,0,1,0,0,10100,1,2,0,7,2,2,210,NA,113,106,1,5,4
dk,1,,FWB: BAYN (Frankfurt Stock Exchange),1,09-1205,2010,6/16/2011,"KEITH SMITH, et al., PETITIONERS v. BAYER CORPORATION",1/18/2011,,2010-068,2010-068-01,2010-068-01-01,2010-068-01-01-01,6/16/2011,1,,131 S. Ct. 2368,180 L. Ed. 2d 341,2011 U.S. LEXIS 4559,2010,1704,Roberts,09-1205,"KEITH SMITH, et al., PETITIONERS v. BAYER CORPORATION",1/18/2011,,134,,143,,1,,,0,83,,28,,0,2,2,2,1,3,0,1,0,0,100020,10,1,0,4,,6,600,28-2283,114,111,1,9,0
dk,0,,,1,36800,2010,6/16/2011,"ALEJANDRA TAPIA, PETITIONER v. UNITED STATES",4/18/2011,,2010-069,2010-069-01,2010-069-01-01,2010-069-01-01-01,6/16/2011,1,,131 S. Ct. 2382,180 L. Ed. 2d 357,2011 U.S. LEXIS 4556,2010,1704,Roberts,Oct-00,"ALEJANDRA TAPIA, PETITIONER v. UNITED STATES",4/18/2011,,137,,27,,1,,,0,51,,29,,0,2,2,1,1,4,0,1,0,0,10560,1,2,0,4,,6,600,18-3582,114,111,1,9,0
dk,1,,NYSE: WMT for Walmart,1,10-277,2010,6/20/2011,"WAL-MART STORES, INC., PETITIONER v. BETTY DUKES et al.",3/29/2011,,2010-070,2010-070-01,2010-070-01-01,2010-070-01-01-01,6/20/2011,1,,131 S. Ct. 2541,180 L. Ed. 2d 374,2011 U.S. LEXIS 4567,2010,1704,Roberts,10-277,"WAL-MART STORES, INC., PETITIONER v. BETTY DUKES et al.",3/29/2011,,238,,154,,1,,,0,50,,29,,1,2,6,2,1,3,0,1,0,0,90250,9,1,0,4,,4,400,NA,105,111,1,5,4
dk,0,,,1,09-1476,2010,6/20/2011,"BOROUGH OF DURYEA, PENNSYLVANIA, et al., PETITIONERS v. CHARLES J GUARNIERI",3/22/2011,,2010-071,2010-071-01,2010-071-01-01,2010-071-01-01-01,6/20/2011,1,,131 S. Ct. 2488,180 L. Ed. 2d 408,2011 U.S. LEXIS 4564,2010,1704,Roberts,09-1476,"BOROUGH OF DURYEA, PENNSYLVANIA, et al., PETITIONERS v. CHARLES J GUARNIERI",3/22/2011,,3,45,8,45,1,,,0,110,,23,,0,2,2,2,1,5,0,1,0,0,30010,3,1,0,2,,2,204,NA,106,111,1,9,0
dk,1,,AEP (NYSE),1,10-174,2010,6/20/2011,"AMERICAN ELECTRIC POWER COMPANY, INC., et al., PETITIONERS v. CONNECTICUT ET AL",4/19/2011,,2010-072,2010-072-01,2010-072-01-01,2010-072-01-01-01,6/20/2011,1,,131 S. Ct. 2527,180 L. Ed. 2d 435,2011 U.S. LEXIS 4565,2010,1704,Roberts,10-174,"AMERICAN ELECTRIC POWER COMPANY, INC., et al., PETITIONERS v. CONNECTICUT ET AL",4/19/2011,,148,,28,8,1,33,,0,96,,22,,0,12,5,2,1,4,0,1,0,0,80130,8,1,0,4,,3,304,NA,109,111,1,8,0
dk,0,,,1,41922,2010,6/20/2011,"MICHAEL D. TURNER, PETITIONER v. REBECCA L. ROGERS et al.",3/23/2011,,2010-073,2010-073-01,2010-073-01-01,2010-073-01-01-01,6/20/2011,1,,131 S. Ct. 2507,180 L. Ed. 2d 452,2011 U.S. LEXIS 4566,2010,1704,Roberts,10-Oct,"MICHAEL D. TURNER, PETITIONER v. REBECCA L. ROGERS et al.",3/23/2011,,153,,188,,1,,,0,302,48,300,48,0,5,2,1,1,5,0,1,0,0,10080,1,2,0,2,,2,230,NA,110,106,1,5,4
dk,1,,CSX (NYSE) and maybe other railroads? ,1,10-235,2010,6/23/2011,"CSX TRANSPORTATION, INC., PETITIONER v. ROBERT MCBRIDE",3/28/2011,,2010-074,2010-074-01,2010-074-01-01,2010-074-01-01-01,6/23/2011,1,,131 S. Ct. 2630,180 L. Ed. 2d 637,2011 U.S. LEXIS 4795,2010,1704,Roberts,10-235,"CSX TRANSPORTATION, INC., PETITIONER v. ROBERT MCBRIDE",3/28/2011,,231,,145,,1,,,0,67,,27,,0,11,2,2,1,2,0,0,0,0,80040,8,2,0,4,7,3,329,NA,109,108,1,5,4
dk,0,,,1,09-10876,2010,6/23/2011,"DONALD BULLCOMING, PETITIONER v. NEW MEXICO",3/2/2011,,2010-075,2010-075-01,2010-075-01-01,2010-075-01-01-01,6/23/2011,1,,131 S. Ct. 2705,180 L. Ed. 2d 610,2011 U.S. LEXIS 4790,2010,1704,Roberts,09-10876,"DONALD BULLCOMING, PETITIONER v. NEW MEXICO",3/2/2011,,137,,28,36,1,,,0,302,36,300,36,0,11,2,1,1,4,0,1,0,0,10270,1,2,0,2,,2,213,NA,109,105,1,5,4
dk,1,,Parent Company is NYSE: TEVA Teva Pharma,1,09-993,2010,6/23/2011,"PLIVIA, INC., et al., PETITIONERS v. GLADYS MENSING",3/30/2011,,2010-076,2010-076-01,2010-076-01-01,2010-076-01-01-01,6/23/2011,1,,131 S. Ct. 2567,180 L. Ed. 2d 580,2011 U.S. LEXIS 4793,2010,1704,Roberts,09-993,"PLIVIA, INC., et al., PETITIONERS v. GLADYS MENSING",3/30/2011,,143,,134,,1,40,,0,83,,28,,0,12,2,1,1,4,0,1,0,0,100030,10,2,0,1,,1,148,NA,108,111,1,5,4
dk,1,,IMS (NYSE) and others in the sector,1,10-779,2010,6/23/2011,"SORRELL, ATTORNEY GENERAL OF VERMONT, et al. v. IMS HEALTH INC. ET AL",4/26/2011,,2010-077,2010-077-01,2010-077-01-01,2010-077-01-01-01,6/23/2011,1,,131 S. Ct. 2653,180 L. Ed. 2d 544,2011 U.S. LEXIS 4794,2010,1704,Roberts,10-779,"SORRELL, ATTORNEY GENERAL OF VERMONT, et al. v. IMS HEALTH INC. ET AL",4/26/2011,,28,53,143,,1,,,0,124,,22,,1,2,4,2,3,2,0,0,0,0,30020,3,2,0,2,,2,200,NA,106,111,1,6,3
dk,0,,,7,09-10245,2010,6/23/2011,WILLIAM FREEMAN v. UNITED STATES,2/23/2011,,2010-078,2010-078-01,2010-078-01-01,2010-078-01-01-01,6/23/2011,7,,131 S. Ct. 2685,180 L. Ed. 2d 519,2011 U.S. LEXIS 4792,2010,1704,Roberts,09-10245,WILLIAM FREEMAN v. UNITED STATES,2/23/2011,,137,,27,,1,113,,0,74,,26,,0,12,2,1,1,4,0,1,0,0,10560,1,2,0,4,,6,600,18-3582,106,106,1,5,4
dk,0,,,1,10-179,2010,6/23/2011,"HOWARD K. STERN, EXECUTOR OF THE ESTATE OF VICKI LYNN MARSHALL, PETITIONER, v. ELAINE T. MARSHALL, EXECUTRIX OF THE ESTATE OF E. PIERCE MARSHALL",1/18/2011,,2010-079,2010-079-01,2010-079-01-01,2010-079-01-01-01,6/23/2011,1,,131 S. Ct. 2594,180 L. Ed. 2d 475,2011 U.S. LEXIS 4791,2010,1704,Roberts,10-179,"HOWARD K. STERN, EXECUTOR OF THE ESTATE OF VICKI LYNN MARSHALL, PETITIONER, v. ELAINE T. MARSHALL, EXECUTRIX OF THE ESTATE OF E. PIERCE MARSHALL",1/18/2011,,253,,129,,1,,,0,48,,29,,0,12,4,1,1,2,0,0,0,0,140070,14,3,0,1,,6,600,28-157,111,111,1,5,4
dk,0,,,2,09-940,2010,6/27/2011,UNITED STATES v. JUVENILE MALE,,,2010-080,2010-080-01,2010-080-01-01,2010-080-01-01-01,6/27/2011,2,,131 S. Ct. 2860,180 L. Ed. 2d 811,2011 U.S. LEXIS 4799,2010,1704,Roberts,09-940,UNITED STATES v. JUVENILE MALE,,,27,,175,,1,27,,0,88,,29,,0,12,8,2,1,5,0,1,0,0,90260,9,1,0,5,1,1,139,NA,,111,1,5,3
dk,1,,GT (NASDAQ),1,28034,2010,6/27/2011,"GOODYEAR DUNLOP TIRES OPERATIONS, S.A., et al., PETITIONERS v. EDGAR D. BROWN, ET UX., CO-ADMINISTRATORS OF THE ESTATE OF JULIAN DAVID BROWN, et al.",1/11/2011,,2010-081,2010-081-01,2010-081-01-01,2010-081-01-01-01,6/27/2011,1,,131 S. Ct. 2846,180 L. Ed. 2d 796,2011 U.S. LEXIS 4801,2010,1704,Roberts,Oct-76,"GOODYEAR DUNLOP TIRES OPERATIONS, S.A., et al., PETITIONERS v. EDGAR D. BROWN, ET UX., CO-ADMINISTRATORS OF THE ESTATE OF JULIAN DAVID BROWN, et al.",1/11/2011,,159,,175,,1,,,0,302,38,301,38,0,11,2,1,1,3,0,1,0,0,40060,4,2,0,2,,2,230,NA,109,111,1,9,0
dk,0,,,7,09-1343,2010,6/27/2011,"J. MCINTYRE MACHINERY, LTD., PETITIONER v. ROBERT NICASTRO, INDIVIDUALLY AND AS ADMINISTRATOR OF THE ESTATE OF ROSEANNE NICASTRO",1/11/2011,,2010-082,2010-082-01,2010-082-01-01,2010-082-01-01-01,6/27/2011,7,,131 S. Ct. 2780,180 L. Ed. 2d 765,2011 U.S. LEXIS 4800,2010,1704,Roberts,09-1343,"J. MCINTYRE MACHINERY, LTD., PETITIONER v. ROBERT NICASTRO, INDIVIDUALLY AND AS ADMINISTRATOR OF THE ESTATE OF ROSEANNE NICASTRO",1/11/2011,,184,,208,,1,,,0,302,35,300,35,0,12,2,1,1,3,0,1,0,0,40060,4,2,0,2,,2,230,NA,106,111,1,6,3
dk,1,,AlL Video Game Manufacturing Companies? ,1,08-1448,2010,6/27/2011,"EDMUND G. BROWN, JR., GOVERNOR OF CALIFORNIA, et al., PETITIONERS v. ENTERTAINMENT MERCHANTS ASSOCIATION, et al.",11/2/2010,,2010-083,2010-083-01,2010-083-01-01,2010-083-01-01-01,6/27/2011,1,,131 S. Ct. 2729,180 L. Ed. 2d 708,2011 U.S. LEXIS 4802,2010,1704,Roberts,08-1448,"EDMUND G. BROWN, JR., GOVERNOR OF CALIFORNIA, et al., PETITIONERS v. ENTERTAINMENT MERCHANTS ASSOCIATION, et al.",11/2/2010,,19,6,109,,1,,,0,50,,29,,0,12,2,2,3,2,0,0,0,0,30010,3,2,0,2,,2,200,NA,105,111,1,7,2
dk,0,,,1,10-238,2010,6/27/2011,"ARIZONA FREE ENTERPRISE CLUB'S FREEDOM CLUB PAC, et al., PETITIONERS v. KEN BENNETT, IN HIS OFFICIAL CAPACITY AS ARIZONA SECRETARY OF STATE, et al.",3/28/2011,,2010-084,2010-084-01,2010-084-01-01,2010-084-01-01-01,6/27/2011,1,,131 S. Ct. 2806,180 L. Ed. 2d 664,2011 U.S. LEXIS 4992,2010,1704,Roberts,10-238,"ARIZONA FREE ENTERPRISE CLUB'S FREEDOM CLUB PAC, et al., PETITIONERS v. KEN BENNETT, IN HIS OFFICIAL CAPACITY AS ARIZONA SECRETARY OF STATE, et al.",3/28/2011,,207,,19,4,1,,,0,45,,29,,1,12,3,2,3,3,0,1,0,0,30140,3,1,0,2,,2,200,NA,111,111,1,5,4
dk,0,,,2,11Ð5001,2010,7/7/2011,"HUMBERTO LEAL GARCIA, AKA HUMBERTO LEAL v. TEXAS",,,2010-085,2010-085-01,2010-085-01-01,2010-085-01-01-01,7/7/2011,2,,131 S. Ct. 2866,180 L. Ed. 2d 872,2011 U.S. LEXIS 5019,2010,1704,Roberts,11Ð5001,"HUMBERTO LEAL GARCIA, AKA HUMBERTO LEAL v. TEXAS",,,126,,28,51,12,,,0,122,,25,,0,1,2,1,1,9,0,0,0,0,10130,1,1,0,7,,2,221,NA,,111,1,5,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dk,0,,,2,08-10495,2009,10/20/2009,"JOSEPH E. CORCORAN v. MARK LEVENHAGEN, SUPERINTENDENT, INDIANA STATE PRISON",,,2009-009,2009-009-01,2009-009-01-01,2009-009-01-01-01,10/20/2009,2,,130 S. Ct. 8,175 L. Ed. 2d 1,2009 U.S. LEXIS 7479,2009,1703,Roberts,08-10495,"JOSEPH E. CORCORAN v. MARK LEVENHAGEN, SUPERINTENDENT, INDIANA STATE PRISON",,,215,,28,18,1,,,0,68,,27,,0,12,4,1,1,5,0,1,0,0,90340,9,2,0,3,,9,900,NA,,111,1,9,0
dk,0,,,2,09-144,2009,11/9/2009,"DAVID BOBBY, WARDEN v. ROBERT J. VAN HOOK",,,2009-008,2009-008-01,2009-008-01-01,2009-008-01-01-01,11/9/2009,2,,130 S. Ct. 13,175 L. Ed. 2d 255,2009 U.S. LEXIS 7976,2009,1703,Roberts,09-144,"DAVID BOBBY, WARDEN v. ROBERT J. VAN HOOK",,,28,41,126,,1,,,0,104,,26,,1,12,4,,1,4,0,1,0,0,20330,2,1,0,2,,1,148,NA,,111,1,9,0
dk,0,,,2,08-1263,2009,11/16/2009,"ROBERT WONG, WARDEN v. FERNANDO BELMONTES, JR.",,,2009-007,2009-007-01,2009-007-01-01,2009-007-01-01-01,11/16/2009,2,,130 S. Ct. 383,175 L. Ed. 2d 328,2009 U.S. LEXIS 8117,2009,1703,Roberts,08-1263,"ROBERT WONG, WARDEN v. FERNANDO BELMONTES, JR.",,,28,6,215,,1,,,0,49,,29,,1,12,4,2,1,4,0,1,0,0,20330,2,1,0,2,,2,214,NA,,111,1,9,0
dk,0,,,2,08-10537,2009,11/30/2009,"GEORGE PORTER, JR. v. BILL MCCOLLUM, ATTORNEY GENERAL OF FLORIDA, et al.",,,2009-006,2009-006-01,2009-006-01-01,2009-006-01-01-01,11/30/2009,2,,130 S. Ct. 447,175 L. Ed. 2d 398,2009 U.S. LEXIS 8377,2009,1703,Roberts,08-10537,"GEORGE PORTER, JR. v. BILL MCCOLLUM, ATTORNEY GENERAL OF FLORIDA, et al.",,,215,,19,12,1,,,0,56,,31,,1,12,3,1,1,4,0,1,0,0,10020,1,2,0,7,,9,900,NA,,111,1,9,0
dk,0,,,2,33482,2009,12/7/2009,MICHIGAN v. JEREMY FISHER,,,2009-005,2009-005-01,2009-005-01-01,2009-005-01-01-01,12/7/2009,2,,130 S. Ct. 546,175 L. Ed. 2d 410,2009 U.S. LEXIS 8773,2009,1703,Roberts,Sep-91,MICHIGAN v. JEREMY FISHER,,,28,27,137,,1,,,0,302,27,301,27,1,12,2,2,1,4,0,1,0,0,10050,1,1,0,2,7,2,205,NA,,111,1,7,2
